"cand_id","cand_name","cand_pty_affiliation"
"P00000679","CARROLL, JERRY LEON","NNE"
"P00001099","MARCINEK, ALOYSIUS R","IND"
"P00003160","WELLS, THOMAS BAXTER","OTH"
"P00003244","WINTERBOTTOM, THOMAS FRANCIS","DEM"
"P00003392","CLINTON, HILLARY RODHAM","DEM"
"P00003640","LANCE-COUNCIL, TEMPERANCE ALESHA","OTH"
"P00003715","ASHE, WARREN RODERICK ","DEM"
"P00003756","MARTISKO, MIKE BENJAMIN","REP"
"P00003814","MALONE, JOAN","REP"
"P00003897","WALLACE, WILLIAM LEONARD","IND"
"P00003962","SCHRINER, JOSEPH CHARLES","UNK"
"P00004135","HANKINS, GERALD LAMAR MR","DEM"
"P00004275","BROWN, HARLEY D","NNE"
"P00004507","EDWARDS, JENNY","UNK"
"P00004580","BOYDSTON, J FATHER REV","IND"
"P00004846","IWACHIW, WALTER N","REP"
"P00004861","BICKELMEYER, MICHAEL","REP"
"P20000055","LEE, KIP","LIB"
"P20000089","FELLURE, LOWELL JACKSON","REP"
"P20000444","WORTHY, HOWARD","IND"
"P20000550","HOWARD, MILDRED (MILLIE)","REP"
"P20001145","MORASCINI, DAVID JOHN","LIB"
"P20001905","LEE, ROBERT","IND"
"P20002051","RUNDBERG, JIM L","REP"
"P20002101","SINGLETON, KEITH","DEM"
"P20002176","NEVEU, DEONIA P","IND"
"P20002283","WILLIAMS, KENT LIONEL","IND"
"P20002309","DRAKE, PATRICK ANTHONY","REP"
"P20002440","DENAME, MICHAEL JR","NNE"
"P20002481","RAMOS, LUIS ALBERTO JR","DEM"
"P20002499","DUMMETT, JOHN ALBERT JR","REP"
"P20002580","CHEHADE, PAUL","IND"
"P20002630","TITTLE, SHEILA 'SAMM'","IND"
"P20002721","SANTORUM, RICHARD J.","REP"
"P20002838","HILL, CHRISTOPHER V","REP"
"P20002861","HUNT, EUGENE ROSELL JR","REP"
"P20002929","DAY, TIM (TEXAS SLIM)","DEM"
"P20002986","POWERS, C","DEM"
"P20003000","DOMAGALA, KENNETH M","IND"
"P60005709","DUCKWALD, WANDA GAYLE","REP"
"P20003042","LAX MILLER, LORETTA","DEM"
"P20003141","FERGUSON, JOHN GREEN","OTH"
"P20003158","STAINFIELD, TAMI L","NNE"
"P20003174","SPONHEIM, DAVID JON","OTH"
"P20003216","STAGG, SILVIA","REP"
"P20003281","PERRY, JAMES R (RICK)","REP"
"P20003372","JUDY, CODY ROBERT","DEM"
"P20003604","STRICKLAND, TIMMY WAYNE","REP"
"P20003612","LOPEZ, AURORA","REP"
"P20003653","STORY, RICKEY JOE","IND"
"P20003711","SWANSON, KARIN LYNN","DEM"
"P20003851","ELGAR, MISS BETSY PAULINE","CON"
"P20003877","JONES, TERRY DR","NPA"
"P20003901","GLORE, TODD RICHARD","IND"
